Label,Area_um2,EquivalentDiameter_um,Orientation_deg,MajorAxisLength_um,MinorAxisLength_um,Perimeter_um,MinIntensity,MeanIntensity,MaxIntensity
11,186.12274800000003,15.394117153262718,-85.51922816054883,18.80212328310836,12.789326967319095,52.9221182926954,50.0,92.29125138427464,145.0
12,228.17041200000003,17.044517930904192,52.09461898853519,18.053091439068577,16.126122188859,57.26070082318664,53.0,155.15266485998194,254.0
13,191.27564800000002,15.60575916059335,-77.5039607709299,17.758734384943168,13.90063905192934,56.086753780504026,43.0,88.49676724137932,142.0
14,318.243104,20.129572892937027,71.42782378013588,24.24839925832457,16.913751590493558,70.72491265245617,49.0,113.84261658031087,205.0
15,295.57034400000003,19.399274476943088,4.4246256825352095,25.311745156859292,15.021376129049287,72.11917743904311,48.0,120.20990237099024,199.0
16,184.67993600000003,15.33433394818174,-23.24743747151357,20.17397767468149,12.07124258533535,56.443959420743255,57.0,184.99665178571428,255.0
17,298.86820000000006,19.50719895074169,89.56721023143051,23.713240204105702,16.28926494847814,68.53280673782142,42.0,116.50896551724138,225.0
18,267.9508,18.470667410882115,25.45428365791033,21.209330198184013,16.48798889807533,65.27691265245619,48.0,131.25615384615384,234.0
19,186.328864,15.402638669084597,-67.26408823341946,20.708395962495675,11.667870506221748,54.95843603659972,43.0,95.74004424778761,156.0
20,180.969848,15.179524593290518,-39.43071379572661,17.835865477875,13.299688831615795,55.82080673782142,39.0,100.66970387243735,155.0
21,189.008372,15.512992410119148,-85.53432693781168,19.574767103299358,12.351690516163316,54.31638307928233,49.0,91.50272628135224,155.0
22,196.428548,15.814569075017792,-81.77577236735793,19.12543284208676,13.252568530902462,58.70059490855187,44.0,79.98426023084994,124.0
23,214.36064000000002,16.52066716820898,-61.34490616172602,24.882626197264354,11.543764971876033,65.95123039636049,50.0,82.25769230769231,139.0
24,180.55761600000002,15.16222598414581,-73.42539609291454,20.889176068133924,11.487948318231691,58.40238307928234,46.0,94.09132420091325,140.0
25,223.017512,16.850955920862432,-22.271480836747966,19.105009765056693,14.936753632514346,59.34264786586926,51.0,151.25415896487985,255.0
26,278.874948,18.843423569764656,65.7993819366054,22.387146262242275,16.29208590212383,67.46901856709096,44.0,118.2609016999261,204.0
27,371.00880000000006,21.734375436270053,-59.39672410025527,32.52249344842355,16.968805859033296,94.68228954270819,45.0,96.34555555555555,148.0
28,262.179552,18.270669758587093,46.91373536253751,24.737321547724918,14.522079860838856,76.83386588416913,46.0,126.7625786163522,225.0
29,209.20774000000003,16.320893591733032,68.52365468420555,22.48275553578924,12.908771860553205,61.534753780504026,48.0,85.45812807881774,143.0
30,192.71846000000002,15.664506512254436,79.36491180067297,19.684158376056605,12.61064296742414,53.60980054879109,47.0,88.77860962566845,148.0
31,994.3035840000001,35.58070604443792,89.19257097218625,57.357964049660524,28.022028569155943,201.23587653969233,37.0,95.85903814262024,200.0
32,164.89280000000002,14.489583624180035,83.61720361227395,22.974585002993383,9.613454001914791,65.38707152440834,48.0,92.5925,156.0
33,234.76612400000002,17.289115444145743,67.91914644620466,21.016398685481242,14.76280992444837,63.75912448172572,52.0,96.54170324846356,176.0
34,165.09891600000003,14.498636785715714,-56.70753247121597,15.974370877849704,13.638926427655194,50.918065335378024,42.0,103.46566791510612,182.0
35,203.64260800000002,16.10235453275704,81.79806882803283,20.87390908581183,12.896127953972108,62.97464786586926,46.0,71.66599190283401,125.0
36,239.71290800000003,17.470316363737147,-68.77937398007494,23.31019918845745,13.409433531031205,64.97870082318664,54.0,141.79793637145315,235.0
37,239.71290800000003,17.470316363737147,25.297301522597262,21.9668520360376,13.926732263900984,60.93833012196496,45.0,87.69131556319863,162.0
38,302.57828800000004,19.627904668096008,2.3989883677846704,22.83261418500849,16.936933055211746,65.10222420733018,48.0,88.89237057220708,156.0
39,274.34039600000006,18.68959713063672,43.24331990699121,24.858886360532534,14.34436263926451,73.88954814026482,42.0,76.8061607813674,145.0
40,227.96429600000002,17.03681767393523,60.8091704212348,26.307334720610907,12.543346902083394,75.50136278965395,53.0,130.12839059674502,221.0
41,257.026652,18.09023209849125,-1.0055219960429478,21.538681898039464,15.224569107863374,61.58038307928232,41.0,90.61668003207699,148.0
42,181.17596400000002,15.188166509500554,61.54696383031074,17.253667726665718,13.449218569151967,53.22033012196495,41.0,99.60295790671218,153.0
43,190.451184,15.572089738067678,-24.12195982527332,18.853182164561012,13.936717913088268,63.3668861737975,43.0,73.99675324675324,117.0
44,177.67199200000002,15.040578652640644,-5.489004112351725,19.55054031824475,12.235914093524489,66.13928335367788,39.0,79.84686774941996,151.0
45,160.77048000000002,14.3073174551365,18.961824397197848,23.441599759730074,9.989527114504522,67.34549518294742,50.0,78.51794871794871,133.0
46,214.77287200000004,16.53654479529334,83.92154894786577,18.4229126259892,15.531088118478936,60.360806737821406,41.0,80.13819577735124,138.0
